epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2061,1.33547,2.20858,1.41268,0.70555,0.47353,0.53237,0.32014,1.3871,2.16536,1.62527,0.000659574,0.000659574,0.000659574
2,63.7211,1.42046,1.88987,1.48179,0.49633,0.45882,0.43318,0.24994,1.50336,2.69116,1.69774,0.00131311,0.00131311,0.00131311
3,92.0711,1.48442,1.80304,1.5309,0.38648,0.4,0.32197,0.16248,1.86769,3.01776,2.03977,0.00195345,0.00195345,0.00195345
4,120.244,1.48324,1.67824,1.5424,0.59369,0.52059,0.5521,0.35088,1.44084,1.63349,1.63946,0.0019406,0.0019406,0.0019406
5,148.551,1.4194,1.60508,1.51236,0.59198,0.65,0.64754,0.41576,1.2735,1.48991,1.3943,0.0019208,0.0019208,0.0019208
6,176.515,1.38642,1.51386,1.47397,0.74545,0.6546,0.73673,0.50688,1.11348,1.23398,1.33824,0.001901,0.001901,0.001901
7,204.842,1.34058,1.46847,1.43935,0.82038,0.55,0.69582,0.46904,1.18572,1.45834,1.41469,0.0018812,0.0018812,0.0018812
8,233.178,1.29709,1.4113,1.41829,0.81107,0.70294,0.77358,0.53166,1.13658,1.15292,1.3301,0.0018614,0.0018614,0.0018614
9,261.514,1.28965,1.34483,1.40509,0.78028,0.69981,0.76222,0.53818,1.01077,1.28811,1.27268,0.0018416,0.0018416,0.0018416
10,289.792,1.2515,1.32027,1.3892,0.71146,0.71798,0.73755,0.54253,1.03938,1.28296,1.30417,0.0018218,0.0018218,0.0018218
11,318.209,1.23716,1.28766,1.37409,0.75962,0.70882,0.76335,0.56599,0.98555,1.09653,1.26631,0.001802,0.001802,0.001802
12,346.007,1.22369,1.26667,1.36678,0.7588,0.67647,0.73659,0.51453,1.09335,1.37791,1.30277,0.0017822,0.0017822,0.0017822
13,374.018,1.21789,1.26834,1.36938,0.75166,0.67647,0.76835,0.55296,1.03484,1.08429,1.27852,0.0017624,0.0017624,0.0017624
14,402.271,1.19066,1.26371,1.35544,0.74967,0.71471,0.76155,0.56037,1.01752,1.05931,1.25686,0.0017426,0.0017426,0.0017426
15,430.146,1.17089,1.20015,1.34026,0.81232,0.70016,0.81662,0.59696,0.97787,0.98479,1.20874,0.0017228,0.0017228,0.0017228
16,458.578,1.1754,1.20315,1.32046,0.80811,0.75294,0.82383,0.61139,0.91515,0.95982,1.20701,0.001703,0.001703,0.001703
17,486.744,1.1585,1.17849,1.32962,0.80713,0.67695,0.79002,0.60148,0.91878,0.9734,1.20294,0.0016832,0.0016832,0.0016832
18,514.899,1.15537,1.17937,1.32999,0.83162,0.73529,0.83467,0.62628,0.92237,0.92177,1.19678,0.0016634,0.0016634,0.0016634
19,542.966,1.10934,1.12941,1.29472,0.76381,0.75588,0.82121,0.61332,0.95398,0.92762,1.2407,0.0016436,0.0016436,0.0016436
20,571.319,1.1507,1.1678,1.32657,0.79719,0.763,0.82625,0.61904,0.91337,0.96484,1.20477,0.0016238,0.0016238,0.0016238
21,599.488,1.12968,1.14072,1.31718,0.83922,0.74412,0.84021,0.62078,0.97058,1.02412,1.21098,0.001604,0.001604,0.001604
22,627.722,1.12145,1.10715,1.32076,0.83676,0.76176,0.84225,0.63764,0.89288,0.90819,1.20198,0.0015842,0.0015842,0.0015842
23,655.724,1.0979,1.13751,1.31936,0.79858,0.70294,0.79505,0.60159,0.93077,0.98245,1.23515,0.0015644,0.0015644,0.0015644
24,683.708,1.10676,1.08451,1.30443,0.82388,0.72921,0.82569,0.62828,0.88816,0.90335,1.16945,0.0015446,0.0015446,0.0015446
25,711.762,1.08195,1.07885,1.2814,0.81244,0.76176,0.84471,0.6544,0.8741,0.86196,1.18477,0.0015248,0.0015248,0.0015248
26,739.063,1.08814,1.08942,1.29251,0.82576,0.76663,0.84534,0.66231,0.80123,0.83941,1.14702,0.001505,0.001505,0.001505
27,766.543,1.09184,1.07519,1.28818,0.74425,0.83025,0.84974,0.64069,0.89422,0.84953,1.16798,0.0014852,0.0014852,0.0014852
28,793.791,1.06628,1.04462,1.28758,0.80911,0.77059,0.83836,0.62422,0.91635,0.86748,1.20266,0.0014654,0.0014654,0.0014654
29,821.208,1.07127,1.06336,1.28562,0.81099,0.78243,0.84657,0.64594,0.87052,0.85161,1.17368,0.0014456,0.0014456,0.0014456
30,849.289,1.05934,1.05187,1.27267,0.83208,0.75588,0.85101,0.66259,0.83489,0.81531,1.14539,0.0014258,0.0014258,0.0014258
31,877.496,1.05335,1.05219,1.27876,0.84676,0.76384,0.86638,0.66778,0.82177,0.81437,1.14215,0.001406,0.001406,0.001406
32,905.689,1.05233,1.04009,1.26928,0.84015,0.78235,0.86092,0.67646,0.81665,0.80459,1.14235,0.0013862,0.0013862,0.0013862
33,934.762,1.01819,1.00205,1.25511,0.82716,0.77416,0.86582,0.68003,0.83107,0.80718,1.15064,0.0013664,0.0013664,0.0013664
34,963.79,1.02952,1.01156,1.24171,0.80727,0.77941,0.8497,0.65767,0.84039,0.84979,1.15412,0.0013466,0.0013466,0.0013466
35,991.824,0.99156,0.99194,1.23382,0.78623,0.78968,0.84486,0.6634,0.82192,0.81471,1.1552,0.0013268,0.0013268,0.0013268
36,1020.04,1.02607,1.00361,1.2595,0.83839,0.77941,0.85504,0.67174,0.80778,0.79088,1.12957,0.001307,0.001307,0.001307
37,1048.57,0.98297,0.96701,1.22652,0.75279,0.81502,0.8449,0.65401,0.8104,0.81726,1.14169,0.0012872,0.0012872,0.0012872
38,1076.37,0.99912,0.95644,1.23943,0.84157,0.75294,0.84653,0.66729,0.82236,0.8247,1.15431,0.0012674,0.0012674,0.0012674
39,1104.65,1.00007,0.98418,1.23349,0.75898,0.82431,0.8619,0.67304,0.80789,0.81883,1.13002,0.0012476,0.0012476,0.0012476
40,1132.49,0.97987,0.97252,1.22932,0.85106,0.76471,0.85696,0.67957,0.79052,0.79643,1.12935,0.0012278,0.0012278,0.0012278
41,1160.55,1.01158,0.96632,1.23383,0.79443,0.83235,0.85506,0.6679,0.80503,0.7909,1.13427,0.001208,0.001208,0.001208
42,1189.67,0.97667,0.95716,1.22927,0.85398,0.76471,0.85917,0.68004,0.79547,0.77561,1.13522,0.0011882,0.0011882,0.0011882
43,1218.56,0.99099,0.95408,1.24383,0.79039,0.83235,0.87588,0.68498,0.8012,0.72105,1.15624,0.0011684,0.0011684,0.0011684
44,1247.25,0.95386,0.94705,1.2128,0.8704,0.75062,0.86888,0.69188,0.7696,0.73349,1.13425,0.0011486,0.0011486,0.0011486
45,1275.4,0.97202,0.92194,1.22862,0.8302,0.80882,0.87776,0.69394,0.76196,0.73531,1.12113,0.0011288,0.0011288,0.0011288
46,1303.19,0.97503,0.93554,1.22634,0.84691,0.77059,0.86164,0.68535,0.78904,0.78835,1.12276,0.001109,0.001109,0.001109
47,1330.95,0.95739,0.90446,1.20955,0.78796,0.78692,0.85012,0.67465,0.78041,0.77132,1.10023,0.0010892,0.0010892,0.0010892
48,1358.81,0.95199,0.9153,1.19551,0.84759,0.7524,0.85259,0.66977,0.77368,0.77596,1.11626,0.0010694,0.0010694,0.0010694
49,1386.7,0.94907,0.90977,1.20299,0.84868,0.81765,0.88045,0.6969,0.77482,0.72117,1.14613,0.0010496,0.0010496,0.0010496
50,1414.66,0.92823,0.88209,1.19047,0.84155,0.80294,0.87573,0.69549,0.76693,0.75061,1.10484,0.0010298,0.0010298,0.0010298
51,1442.54,0.92557,0.88572,1.19006,0.85206,0.77059,0.85867,0.68403,0.77205,0.76853,1.11281,0.00101,0.00101,0.00101
52,1470.56,0.94001,0.91111,1.21472,0.89205,0.76176,0.87934,0.6993,0.74169,0.73562,1.11595,0.0009902,0.0009902,0.0009902
53,1499.74,0.94473,0.90403,1.21797,0.87525,0.78418,0.88749,0.71,0.74237,0.69747,1.09776,0.0009704,0.0009704,0.0009704
54,1528.73,0.93448,0.89318,1.20395,0.85776,0.75882,0.875,0.69892,0.74849,0.74186,1.11329,0.0009506,0.0009506,0.0009506
55,1557.48,0.91928,0.89101,1.17844,0.83323,0.80822,0.8909,0.71797,0.71402,0.7045,1.07795,0.0009308,0.0009308,0.0009308
56,1585.98,0.93457,0.8934,1.20413,0.84953,0.78048,0.87779,0.69908,0.7552,0.74538,1.1,0.000911,0.000911,0.000911
57,1614.39,0.90662,0.86461,1.17827,0.87185,0.78824,0.8775,0.70553,0.7427,0.72874,1.10514,0.0008912,0.0008912,0.0008912
58,1643.56,0.90833,0.85919,1.18352,0.88033,0.7789,0.87963,0.70337,0.73121,0.72613,1.09411,0.0008714,0.0008714,0.0008714
59,1671.23,0.89953,0.86295,1.17914,0.80306,0.81471,0.87968,0.69989,0.76854,0.70589,1.10796,0.0008516,0.0008516,0.0008516
60,1699.26,0.88659,0.87359,1.17621,0.85819,0.78824,0.88068,0.71676,0.72835,0.71343,1.08911,0.0008318,0.0008318,0.0008318
61,1726.89,0.89129,0.8588,1.17866,0.87549,0.78589,0.89048,0.71519,0.71637,0.6789,1.07759,0.000812,0.000812,0.000812
62,1754.9,0.88618,0.83766,1.17861,0.85952,0.76176,0.8634,0.68673,0.77035,0.77098,1.1203,0.0007922,0.0007922,0.0007922
63,1783.37,0.89097,0.84695,1.17399,0.86399,0.78471,0.86522,0.69851,0.73535,0.70526,1.08624,0.0007724,0.0007724,0.0007724
64,1811.38,0.86239,0.83414,1.15425,0.89306,0.76142,0.87401,0.70828,0.71605,0.69752,1.08547,0.0007526,0.0007526,0.0007526
65,1839.26,0.8701,0.83316,1.16671,0.86949,0.78235,0.88104,0.7121,0.72482,0.68794,1.08576,0.0007328,0.0007328,0.0007328
66,1867.03,0.8568,0.81855,1.1538,0.80497,0.82941,0.86242,0.69018,0.74072,0.72952,1.08363,0.000713,0.000713,0.000713
67,1894.72,0.86004,0.82059,1.15849,0.91045,0.77647,0.88508,0.71609,0.69586,0.70728,1.0743,0.0006932,0.0006932,0.0006932
68,1922.6,0.87647,0.83368,1.16849,0.89396,0.77353,0.87825,0.70638,0.71765,0.70073,1.08887,0.0006734,0.0006734,0.0006734
69,1950.19,0.86675,0.81258,1.15807,0.85347,0.80294,0.87565,0.71278,0.7297,0.67981,1.09147,0.0006536,0.0006536,0.0006536
70,1978.1,0.85146,0.82286,1.15073,0.86395,0.8031,0.88446,0.71156,0.73342,0.69625,1.08443,0.0006338,0.0006338,0.0006338
71,2005.58,0.8623,0.82494,1.1659,0.85807,0.79118,0.8876,0.71944,0.71514,0.69558,1.06546,0.000614,0.000614,0.000614
72,2032.32,0.85416,0.78719,1.15075,0.87241,0.75,0.87471,0.70616,0.72514,0.69905,1.0879,0.0005942,0.0005942,0.0005942
73,2059.74,0.83549,0.81761,1.15833,0.85076,0.78235,0.88238,0.72396,0.6976,0.68466,1.06854,0.0005744,0.0005744,0.0005744
74,2087.64,0.86204,0.81615,1.16894,0.86004,0.79525,0.87822,0.72165,0.6914,0.68006,1.08041,0.0005546,0.0005546,0.0005546
75,2115.43,0.83616,0.78026,1.14566,0.8725,0.79706,0.88822,0.72906,0.71638,0.66809,1.09658,0.0005348,0.0005348,0.0005348
76,2143.16,0.8293,0.78813,1.14882,0.83835,0.79706,0.88493,0.71686,0.72273,0.69105,1.08718,0.000515,0.000515,0.000515
77,2171.07,0.82951,0.77526,1.14606,0.88936,0.75652,0.87333,0.70152,0.76962,0.67608,1.11577,0.0004952,0.0004952,0.0004952
78,2198.86,0.83084,0.76206,1.13687,0.87495,0.76471,0.8861,0.71859,0.69788,0.68122,1.07199,0.0004754,0.0004754,0.0004754
79,2226.99,0.80432,0.76295,1.13108,0.88973,0.75944,0.88682,0.72795,0.68269,0.67634,1.05865,0.0004556,0.0004556,0.0004556
80,2254.68,0.80504,0.75306,1.12415,0.8842,0.75588,0.87806,0.7218,0.69905,0.67981,1.06538,0.0004358,0.0004358,0.0004358
81,2282.1,0.81374,0.76035,1.13279,0.88229,0.75882,0.88415,0.72455,0.7028,0.68277,1.06241,0.000416,0.000416,0.000416
82,2310.79,0.80435,0.76634,1.13988,0.89763,0.74706,0.88305,0.72664,0.69227,0.67942,1.06134,0.0003962,0.0003962,0.0003962
83,2339.54,0.81513,0.7498,1.12769,0.85908,0.78824,0.89084,0.7254,0.69863,0.6937,1.06927,0.0003764,0.0003764,0.0003764
84,2368.16,0.79276,0.73726,1.12149,0.88574,0.75238,0.88612,0.7285,0.68871,0.67748,1.06316,0.0003566,0.0003566,0.0003566
85,2395.86,0.80396,0.73457,1.12304,0.86244,0.8,0.88994,0.73342,0.68173,0.67751,1.05828,0.0003368,0.0003368,0.0003368
86,2423.64,0.77964,0.74009,1.11201,0.86169,0.7879,0.89196,0.73349,0.66892,0.66728,1.05695,0.000317,0.000317,0.000317
87,2451.59,0.78671,0.73556,1.11997,0.87525,0.78416,0.88671,0.72681,0.70101,0.68193,1.06729,0.0002972,0.0002972,0.0002972
88,2479.98,0.78407,0.74032,1.12511,0.8337,0.80882,0.88586,0.73229,0.68812,0.68533,1.06783,0.0002774,0.0002774,0.0002774
89,2508.25,0.78694,0.72329,1.11982,0.82857,0.82353,0.89284,0.72968,0.69206,0.67403,1.06678,0.0002576,0.0002576,0.0002576
90,2535.74,0.77867,0.75583,1.11824,0.86938,0.78302,0.88692,0.72452,0.68716,0.664,1.06265,0.0002378,0.0002378,0.0002378
91,2564.71,0.68074,0.58265,1.05862,0.85019,0.79706,0.8882,0.72898,0.68153,0.66384,1.07007,0.000218,0.000218,0.000218
92,2590.65,0.65071,0.54292,1.03943,0.8447,0.83187,0.89261,0.73375,0.67797,0.6485,1.07005,0.0001982,0.0001982,0.0001982
93,2616.9,0.65266,0.54184,1.03639,0.8638,0.80206,0.88619,0.73071,0.66656,0.66095,1.05628,0.0001784,0.0001784,0.0001784
94,2643.98,0.64428,0.54063,1.04447,0.83016,0.82059,0.88758,0.73071,0.67544,0.66184,1.05945,0.0001586,0.0001586,0.0001586
95,2671.34,0.63085,0.51795,1.02214,0.8575,0.80588,0.89391,0.73598,0.68071,0.65741,1.06502,0.0001388,0.0001388,0.0001388
96,2698.74,0.62897,0.52106,1.02772,0.82892,0.8123,0.88981,0.73591,0.67738,0.66132,1.06959,0.000119,0.000119,0.000119
97,2725.75,0.63254,0.52166,1.03007,0.86517,0.8,0.88951,0.73635,0.67617,0.6622,1.06771,9.92e-05,9.92e-05,9.92e-05
98,2752.85,0.62374,0.50888,1.01705,0.86728,0.80294,0.89614,0.7405,0.67359,0.65713,1.06423,7.94e-05,7.94e-05,7.94e-05
99,2779.76,0.61503,0.50415,1.01613,0.86459,0.80754,0.8962,0.7378,0.66875,0.65655,1.0587,5.96e-05,5.96e-05,5.96e-05
100,2806.42,0.62476,0.50286,1.02468,0.85853,0.81471,0.8962,0.73934,0.66601,0.65026,1.05934,3.98e-05,3.98e-05,3.98e-05
