epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,710.32,1.05602,3.03488,1.2054,0,0,0,0,0,12.7532,0,0.000330667,0.000330667,0.000330667
2,1453.05,1.06592,2.23372,1.19225,0,0,0,0,0,20.8952,0,0.000650853,0.000650853,0.000650853
3,10801.9,1.04563,1.9319,1.17921,0,0,0,0,0,26.1189,0,0.000957839,0.000957839,0.000957839
4,11620.5,1.06417,1.76242,1.1775,0,0,0,0,0,12.7608,0,0.0009406,0.0009406,0.0009406
5,12399.6,1.02423,1.57412,1.15594,0,0,0,0,0,30.891,0,0.0009208,0.0009208,0.0009208
6,13177,0.97985,1.44785,1.13523,0,0,0,0,0,23.4151,0,0.000901,0.000901,0.000901
7,13924.2,0.94795,1.31059,1.11091,0,0,0,0,0,12.0875,0,0.0008812,0.0008812,0.0008812
8,14655,0.92191,1.23579,1.10531,0,0,0,0,0,11.1514,0,0.0008614,0.0008614,0.0008614
9,15388.1,0.91621,1.19821,1.09011,0,0,0,0,0,24.6267,0,0.0008416,0.0008416,0.0008416
10,16113.2,0.89458,1.13804,1.08053,0,0,0,0,0,17.9874,0,0.0008218,0.0008218,0.0008218
11,18553.1,0.8837,1.06088,1.07624,0,0,0,0,0,17.9327,0,0.000802,0.000802,0.000802
12,19274.4,0.871,1.04338,1.06802,0,0,0,0,0,18.8186,0,0.0007822,0.0007822,0.0007822
13,21273.4,0.84957,1.01639,1.05316,0,0,0,0,0,20.0597,0,0.0007624,0.0007624,0.0007624
14,22003.9,0.82636,0.94995,1.04428,0,0,0,0,0,18.8174,0,0.0007426,0.0007426,0.0007426
15,22727.8,0.81885,0.92256,1.03172,0,0,0,0,0,19.2675,0,0.0007228,0.0007228,0.0007228
16,26102.2,0.83722,0.92669,1.049,0,0,0,0,0,13.7996,0,0.000703,0.000703,0.000703
17,818.514,0.80019,0.88779,1.02822,0,0,0,0,0,22.3414,0,0.0006832,0.0006832,0.0006832
18,1574.53,0.80056,0.87165,1.03581,0,0,0,0,0,23.3928,0,0.0006634,0.0006634,0.0006634
19,2354.66,0.77768,0.84797,1.02514,0,0,0,0,0,22.3521,0,0.0006436,0.0006436,0.0006436
20,816.954,1.04557,1.30463,2.48074,0,0,0,0,0,3.90594,0,0.0006238,0.0006238,0.0006238
21,1644.95,0.86863,0.90679,1.26711,0,0,0,0,0,10.3204,0,0.000604,0.000604,0.000604
22,2498.44,0.83292,0.84584,1.23119,0,0,0,0,0,10.6795,0,0.0005842,0.0005842,0.0005842
23,3340.91,0.8472,0.90117,1.22886,0,0,0,0,0,16.6831,0,0.0005644,0.0005644,0.0005644
24,4173.68,0.81443,0.84312,1.18948,0,0,0,0,0,14.1998,0,0.0005446,0.0005446,0.0005446
25,4998.12,0.79215,0.83952,1.1632,0,0,0,0,0,16.7249,0,0.0005248,0.0005248,0.0005248
26,5891.06,0.77102,0.8012,1.14306,0,0,0,0,0,23.4712,0,0.000505,0.000505,0.000505
27,6725.91,0.76372,0.78271,1.1354,0,0,0,0,0,24.8898,0,0.0004852,0.0004852,0.0004852
28,7556.08,0.7481,0.76441,1.11118,0,0,0,0,0,21.5817,0,0.0004654,0.0004654,0.0004654
29,8419.4,0.72636,0.74086,1.09952,0,0,0,0,0,21.512,0,0.0004456,0.0004456,0.0004456
30,9300.08,0.72147,0.70473,1.09056,0,0,0,0,0,22.3128,0,0.0004258,0.0004258,0.0004258
31,10177.4,0.72307,0.72587,1.09723,0,0,0,0,0,23.3896,0,0.000406,0.000406,0.000406
32,11056.8,0.70824,0.69159,1.07071,0,0,0,0,0,22.1251,0,0.0003862,0.0003862,0.0003862
33,789.934,0.66802,0.63952,1.0473,0,0,0,0,0,27.9245,0,0.0003664,0.0003664,0.0003664
34,1609.28,0.66442,0.61342,1.04541,0,0,0,0,0,21.3558,0,0.0003466,0.0003466,0.0003466
35,2479.96,0.64818,0.59228,1.03732,0,0,0,0,0,23.7081,0,0.0003268,0.0003268,0.0003268
36,820.489,0.58654,0.5211,1.00051,0,0,0,0,0,26.725,0,0.000307,0.000307,0.000307
37,1604.63,0.57293,0.50553,0.99638,0,0,0,0,0,24.1027,0,0.0002872,0.0002872,0.0002872
38,799.761,0.55816,0.5107,1.05857,0,0,0,0,0,29.316,0,0.0002674,0.0002674,0.0002674
39,1620.58,0.52473,0.45445,0.98951,0,0,0,0,0,26.4228,0,0.0002476,0.0002476,0.0002476
40,2448.11,0.56707,0.49846,1.00116,0,0,0,0,0,26.161,0,0.0002278,0.0002278,0.0002278
41,3242.66,0.57079,0.46436,0.99217,0,0,0,0,0,27.8268,0,0.000208,0.000208,0.000208
42,4044.55,0.55158,0.41429,0.96784,0,0,0,0,0,22.7069,0,0.0001882,0.0001882,0.0001882
43,4821.22,0.54559,0.40234,0.96786,0,0,0,0,0,25.6786,0,0.0001684,0.0001684,0.0001684
44,5576.16,0.54258,0.38865,0.95618,0,0,0,0,0,24.5634,0,0.0001486,0.0001486,0.0001486
45,6383.23,0.52522,0.37603,0.94743,0,0,0,0,0,24.2184,0,0.0001288,0.0001288,0.0001288
46,7151.43,0.52149,0.37632,0.94499,0,0,0,0,0,23.128,0,0.000109,0.000109,0.000109
47,7918.97,0.51453,0.36318,0.93373,0,0,0,0,0,25.7593,0,8.92e-05,8.92e-05,8.92e-05
48,8662.28,0.51037,0.35773,0.93316,0,0,0,0,0,24.8316,0,6.94e-05,6.94e-05,6.94e-05
49,9404.56,0.50243,0.35251,0.93425,0,0,0,0,0,24.7752,0,4.96e-05,4.96e-05,4.96e-05
50,10145.8,0.49703,0.34356,0.92527,0,0,0,0,0,25.6633,0,2.98e-05,2.98e-05,2.98e-05
